vidId,frameNum,timestamp,detectedObjId,detectedObjClass,confidence,bbox_info
2,1000,41.708333333333336,6,vase,0.69933623,"103,250,149,328"
2,1000,41.708333333333336,7,vase,0.69418156,"82,226,120,281"
2,1000,41.708333333333336,8,knife,0.6550038,"267,281,281,356"
2,1000,41.708333333333336,9,book,0.6491279,"2,163,28,205"
2,1000,41.708333333333336,10,book,0.61856085,"16,177,33,207"
2,1000,41.708333333333336,11,dining table,0.51372594,"1,299,70,358"
2,1000,41.708333333333336,12,cup,0.50314325,"81,225,122,285"
1,800,33.36666666666667,0,bird,0.7648203,"323,216,358,242"
1,4100,171.00416666666666,0,boat,0.8801214,"2,122,130,228"
1,4100,171.00416666666666,1,boat,0.71340925,"0,123,126,165"
1,4100,171.00416666666666,2,boat,0.5843923,"0,161,128,208"
2,2600,108.44166666666668,0,person,0.9981762,"233,75,422,334"
2,2600,108.44166666666668,1,person,0.99792093,"183,54,302,282"
2,2600,108.44166666666668,2,person,0.9924453,"508,62,610,225"
2,2600,108.44166666666668,3,person,0.9800755,"387,66,491,200"
2,2600,108.44166666666668,4,person,0.9723422,"295,52,327,106"
2,2600,108.44166666666668,5,bowl,0.9190897,"46,230,158,288"
2,2600,108.44166666666668,6,person,0.90887624,"365,53,411,108"
2,2600,108.44166666666668,7,bowl,0.7225738,"416,166,569,296"
2,2600,108.44166666666668,8,chair,0.6915413,"387,80,408,126"
2,2600,108.44166666666668,9,cup,0.6385584,"610,147,628,178"
2,2600,108.44166666666668,10,person,0.6362585,"457,47,484,72"
2,2600,108.44166666666668,11,chair,0.61720544,"455,27,512,152"
2,2600,108.44166666666668,12,person,0.5717847,"91,2,121,47"
2,2600,108.44166666666668,13,person,0.57093894,"353,46,370,87"
2,2600,108.44166666666668,14,person,0.50073045,"465,27,512,161"
2,2200,91.75833333333334,0,person,0.99931633,"81,190,253,353"
2,2200,91.75833333333334,1,person,0.99258924,"297,152,484,315"
2,2200,91.75833333333334,2,person,0.9895716,"412,37,532,252"
2,2200,91.75833333333334,3,person,0.9735108,"181,42,243,291"
2,2200,91.75833333333334,4,person,0.9728486,"410,103,447,163"
2,2200,91.75833333333334,5,person,0.97215545,"234,116,307,256"
2,2200,91.75833333333334,6,person,0.96785283,"327,107,375,168"
2,2200,91.75833333333334,7,person,0.9534363,"399,176,485,285"
2,2200,91.75833333333334,8,cup,0.94038093,"457,108,472,129"
2,2200,91.75833333333334,9,bowl,0.7906256,"49,171,97,189"
2,2200,91.75833333333334,10,chair,0.7681511,"459,101,543,253"
2,2200,91.75833333333334,11,person,0.72436076,"241,109,285,166"
2,2200,91.75833333333334,12,chair,0.5848952,"299,168,337,202"
2,3100,129.29583333333335,0,person,0.9988067,"316,44,532,355"
2,3100,129.29583333333335,1,cup,0.97665954,"77,217,118,266"
2,3100,129.29583333333335,2,cup,0.7245908,"48,204,94,253"
2,3100,129.29583333333335,3,bowl,0.69186455,"50,206,95,249"
2,3100,129.29583333333335,4,cup,0.66468817,"168,333,234,359"
2,3100,129.29583333333335,5,cup,0.6566168,"276,196,315,245"
2,3100,129.29583333333335,6,person,0.64524865,"0,153,56,216"
2,3100,129.29583333333335,7,spoon,0.62722856,"327,178,368,263"
3,1400,58.391666666666666,0,bed,0.5718,"3,180,222,357"
1,2300,95.92916666666667,0,traffic light,0.9941322,"1,125,74,241"
3,900,37.5375,0,cell phone,0.91178966,"165,94,572,341"
3,3300,137.6375,0,chair,0.6533888,"561,171,585,204"
3,3300,137.6375,1,bench,0.62209946,"591,185,618,208"
2,1100,45.87916666666667,0,person,0.9983557,"327,19,640,351"
2,1100,45.87916666666667,1,person,0.9975413,"118,0,423,286"
2,1100,45.87916666666667,2,cup,0.97619665,"0,236,14,331"
2,1100,45.87916666666667,3,dining table,0.6092771,"8,265,416,358"
2,1100,45.87916666666667,4,cake,0.58729196,"50,276,334,356"
2,1100,45.87916666666667,5,vase,0.5535985,"32,180,60,212"
2,1100,45.87916666666667,6,potted plant,0.50023043,"572,149,624,194"
2,7500,312.8125,0,person,0.9975956,"55,132,401,357"
2,7500,312.8125,1,person,0.9951691,"554,147,640,320"
2,7500,312.8125,2,person,0.9808014,"366,103,433,261"
2,7500,312.8125,3,person,0.97734785,"73,106,170,269"
2,7500,312.8125,4,person,0.965161,"0,8,100,336"
2,7500,312.8125,5,person,0.9607379,"432,141,640,357"
2,7500,312.8125,6,person,0.9404097,"33,3,110,156"
2,7500,312.8125,7,person,0.9353078,"411,139,455,232"
2,7500,312.8125,8,person,0.8961631,"0,16,80,205"
2,7500,312.8125,9,person,0.89292526,"40,9,111,291"
2,7500,312.8125,10,person,0.88371164,"292,124,357,206"
2,7500,312.8125,11,book,0.8536819,"543,63,581,115"
2,7500,312.8125,12,person,0.8495754,"268,145,396,317"
2,7500,312.8125,13,person,0.8163966,"292,132,371,284"
2,7500,312.8125,14,person,0.78543425,"393,176,466,352"
2,7500,312.8125,15,refrigerator,0.7751411,"297,47,434,164"
2,7500,312.8125,16,person,0.7537208,"402,3,582,354"
2,7500,312.8125,17,person,0.7229259,"177,83,265,152"
2,7500,312.8125,18,person,0.54503876,"62,3,116,133"
2,7500,312.8125,19,person,0.53696936,"351,216,399,336"
2,7500,312.8125,20,person,0.53425485,"290,123,316,144"
2,7500,312.8125,21,person,0.5267495,"55,117,271,317"
2,7500,312.8125,22,book,0.5009764,"580,41,597,110"
1,2800,116.78333333333335,0,sports ball,0.8196537,"446,187,478,211"
2,1800,75.075,0,person,0.99155855,"372,138,454,280"
2,1800,75.075,1,person,0.98774195,"2,0,299,360"
2,1800,75.075,2,person,0.98418,"484,248,590,360"
2,1800,75.075,3,person,0.98417884,"444,180,529,300"
2,1800,75.075,4,person,0.96800876,"213,126,301,252"
2,1800,75.075,5,person,0.9616047,"548,188,640,330"
2,1800,75.075,6,chair,0.9269808,"206,99,264,204"
2,1800,75.075,7,person,0.9125145,"325,162,382,272"
2,1800,75.075,8,person,0.9103124,"528,136,612,241"
2,1800,75.075,9,person,0.900821,"266,90,316,174"
2,1800,75.075,10,person,0.8971253,"285,206,366,299"
2,1800,75.075,11,person,0.86862016,"325,116,391,184"
2,1800,75.075,12,person,0.86821496,"442,94,516,177"
2,1800,75.075,13,bowl,0.8010864,"561,114,598,132"
2,1800,75.075,14,person,0.73002386,"441,121,547,216"
2,1800,75.075,15,bowl,0.63438064,"582,123,619,145"
